Port,Latitude,Longtitude
OKC,35.393089,-97.600733
OMA,41.303167,-95.894069
OME,64.512203,-165.445247
ONT,34.056,-117.601194
ORD,41.978603,-87.904842
ORF,36.894611,-76.201222
OTZ,66.884678,-162.59855
OXR,34.200833,-119.207222
PBI,26.683161,-80.095589
PDX,45.588722,-122.5975
PFN,30.212083,-85.682806
PHF,37.131894,-76.492989
PHL,39.871944,-75.241139
PHX,33.434278,-112.011583
PIA,40.664203,-89.693258
PIH,42.9098,-112.596
PIR,44.3827,-100.286
PIT,40.491467,-80.232872
PLN,45.5709,-84.7967
PMD,34.629391,-118.08456
PNS,30.473425,-87.186611
PSC,46.2647,-119.119
PSE,18.008306,-66.563028
PSG,56.801667,-132.945278
PSP,33.829667,-116.506694
PUB,38.289085,-104.496572
PVD,41.732581,-71.420383
PVU,40.21805555,-111.72222222
PWM,43.646161,-70.309281
RAP,44.045278,-103.057222
RDD,40.509,-122.293389
RDM,44.254066,-121.149964
RDU,35.877639,-78.787472
RFD,42.1953611,-89.0972222
RHI,45.6312,-89.4675
RIC,37.505167,-77.319667
RNO,39.499108,-119.768108
ROA,37.325472,-79.975417
ROC,43.118866,-77.672389
ROW,33.301556,-104.530556
RST,43.908283,-92.500014
RSW,26.536167,-81.755167
SAN,32.733556,-117.189667
SAT,29.533694,-98.469778
SAV,32.127583,-81.202139
SBA,34.426211,-119.840372
SBN,41.708661,-86.31725
SBP,35.2368,-120.642
SCC,70.19475,-148.465167
SCE,40.849278,-77.848694
SDF,38.1740858,-85.7364989
SEA,47.449,-122.309306
SFO,37.618972,-122.374889
SGF,37.245667,-93.388639
SGU,37.090583,-113.593056
SHV,32.446629,-93.8256
SIT,57.047138,-135.361611
SJC,37.3626,-121.929022
SJT,31.35775,-100.496306
SJU,18.439417,-66.001833
SLC,40.788389,-111.977772
SLE,44.9095,-123.003
SMF,38.695417,-121.590778
SMX,34.8989,-120.457
SNA,33.675667,-117.868222
SOP,35.2376111,-79.3887958
SPI,39.8441,-89.677889
SPS,33.988797,-98.491894
SRQ,27.395444,-82.554389
STL,38.748697,-90.370028
STT,18.337306,-64.973361
STX,17.701889,-64.798556
SUN,43.504444,-114.296194
SUX,42.402603,-96.384367
SWF,41.504094,-74.104839
SYR,43.111187,-76.106311
TEX,37.953759,-107.90848
TLH,30.396528,-84.350333
TOL,41.586806,-83.807833
TPA,27.975472,-82.53325
TRI,36.4752222,-82.4074167
TTN,40.276692,-74.813469
TUL,36.198389,-95.888111
TUP,34.2681,-88.7699
TUS,32.116083,-110.941028
TVC,44.741445,-85.582235
TWF,42.481803,-114.487733
TXK,33.453722,-93.991028
TYR,32.354139,-95.402386
TYS,35.810972,-83.994028
VLD,30.7825,-83.2767
VPS,30.48325,-86.5254
WRG,56.4843,-132.37
WYS,44.688333,-111.1175
XNA,36.2818694,-94.3068111
YAK,59.3012,-139.3937
YKM,46.5682,-120.544
YUM,32.656578,-114.60598
